label,text
1,user love you to!! tg  lol gngb
0,user i told myself: don't click on this link. but i just did. boho 
0,the man who rendered his voice to mickey mouse expired. he was 62 years old!  i'm a mickey fan!
1,user i think red would be nice.  or maybe you could do a mix of red and black. 
0,user - i guess. 'cause one of her tweets says she is confused. 
0,"have to go home in awhile. goodbye, internet.  i will miss you."
1,user faints i want!! everything looks good when its put through a fisheye  haha
1,user merci! now i need to go find it before it falls off the stream... ! say hi to sophie for me 
1,user morning 
1,user i freaking love you! does jason still have his lovely curly hair? 
1,user well....ok...you can carry on then.  dinnertime over now anyway 
0,splitting headache ftl 
1,the white stripes quot;we're going to be friendsquot; ? http 
1,"yes, dear friends, the ms crazies are still losing time watching my twitter account. it amuses me to no end! "
1,user not bad 
1,user lol but to be honest it's kinds annoying as it looks huge in my room 
0,having the worst day ever!! 
1,user she is! 
0,user ooc your picture is failing 
1,user sounds interesting... 
0,user ouch.  hope you're okay.
0,dude! its fathers day today!! lol i can't go out after church.  mom says its fam time. next sunday instead?
1,im really really really tired tt all hurt me... hahahaha but was a amazing day.. all beach! 
1,"user yeah, he was, made me tingle all over. i love the welsh "
0,"why all this, just go down, wheni must need to feel special.. i miss you "
0,aww man i really do miss him 
1,old people are like slinkies...they're pretty much useless... but you can't help ut laugh when one falls down thr stairs  jk lol  
1,catching the bus to the city all this week  i'm going to love the change in scenery. have a great day all x
1,user thanks for the rt's! 
1,user hey sweets! it is hella hot here! 
1,user a queen referance and it shows i ain't the only one caught in the rain. wonderful 
1,user oh no she eats lls....but they think its going to catch up with me one day 
0,"if you ever want to try out corel painter 11 and find a torrent through isohunt, beware. there's two trojans in one of the torrents. "
0,user  hope they sort things out for you soon 
1,user that's so sweet!  what a cute picture ... little joey joe     good memories... joey joe is what i used to fall asleep to! 
1,user about to go out job hunting! 
0,"user oh no, that's even worse!  wonders if can start a blue peter appeal to send urgent food parcels to bath"
1,user okie thanx 
1,user awakened indeed - thought some twitter alarm clock had gone off that i missed 
0,i feel like crap today 
1,finally home! i need to tell user some very exciting news 
0,user not fair we gotta work... 
1,user anytime 
1,"user indeed, thank you "
0,i'm hoping the injections needed for a visit to egypt can be counted on one hand. bloody hate needles 
1,user its so cute  so did you think about phx?? ; hehehe....
0,user aw...no more space boot?  
0,user oh god  hope she is ok huge hugs x
0,"back from mahon point - everybody got something, except mommy. mommy hates shopping "
0,"i need sleep, not use to working, really not looking forward to 10 hours shift on monday "
0,user two thumbs down!!!!! 
0,user......... i texted you last nite....  going to church 2day?
1,user poor index right! safety gloves?  or blunt knives?
1,"'when are you going to realize that being tough, means being tender?'  i lovee jam.  detroit rock city."
0,one hour late-bad plumbers  http
1,user i'm very much in tune with your words today. thanks. 
1,user what up to today? 
1,user i'm sure i won't! i can't wait. convinced the hubby to stay up and watch it too  he usually can't stay awake that long! haha
0,time to get some ironin done ...can think of betta ways to spend a sunday mornin 
0,"reading about dumbledore's death and funeral is making me feel very sad about my cat.  is that just ridiculous, or what?"
1,user lol!! aw you're lucky!!  i want a son so bad...too many women in my family. i'd try not to make him a momma's boy but...
1,"user  thinking about universal, i recall your saying it was the biggest crowd you had ever played for  how things  have cha ..."
0,"user i have no idea, but i pissed of a niche group of grandmothers tonight "
0,feeling proper weird today 
0,"user bad, bad percy!  not cool, mr. bass."
1,user i am now following you  tweet on my friend
1,"user greece!! oo lucky son of a gun! i bet you're grinning ear to ear now, aren't you? "
0,"feel bad about my english, couldn't it be better? "
1,user yeah i think so  hurry home x
1,user thanks so much 
1,user i hate burning myself with straightners... i always feel like evolution should have weeded ppl like me out!  x
1,user  i love the house...definitely a good move. 
0,user o do we have any exams together? during this week? 
1,user  hello deary!  all ok with you?  keeping out of trouble? jail? chains? 
1,"user my daughter is 17 and getting customer svc experience in a shop, has done leisure amp; tourism, always wanted airline job "
1,user beautiful here in nw lower mi today! balmy and calm seas on the lake 
0,am now officially at my lowest weight since before high school minus my coke head years-that was insane this explains my smaller boobs 
0,user  i know and i need to sleep  blah blah blah
1,user yes i do say so  i think i like to take charge.
0,user cold potatoes are a hundred times better than warm potatoes. don't like those too much either 
0,user 5 days! wish you would have stayed this week! 
0,no!!! demi's not in the trending topics anymore  lets get her back there!
1,user hope the painkillers work! am watching the politics show amp; wondering why i am lol - not sure what am doing for rest of day 
1,"user aha! nice, taylor. ;p you should take a picture amp;amp; post it on twitter.  ;p"
1,user  i didnt watch star trek yet.... i thought that i will watch it last night ... but i didnt...  ... i will watch it today... 
1,user how was gemini baby bday?? 
1,user pls if you get dis twitter--kindly reply i wanna know if this works lol--im still a newbie and glad to c you here 
0,"user aug, i have to look for a job tomorrow and wednesday  no kaching. "
0,"user yes of course, i love your show only cause i always come watch performers, and eric was on the other day but you didnt tweet "
0,and then hayfever starts 
0,"user lol.. it was.. now its just getting pathetic the words ppl are coming up with.. smh, it was just a random rant, im so bored! "
1,"so i had my phone dead since last night, decide to charge it amp; had 200 unread messages. fucking twitter. anyways, feels good to be back "
0,user 
0,user i don't envy you driving all that time in sydney traffic ..  .. you deserve a medal
1,the sky's green!! i like it... 
0,no way am i gonna finish this coursework for tomorrow 
1,done with work and mondayitis. time for coffee with clairebear! 
0,user yeas its very sad.. i wont get it till i get back  also what does ttow mean?
1,got an appointment with the doc later on... i'd be surprised if i can remember where the surgery act. is. lol. 
1,user get 100 followers a day using w.tweeteradder.com once you add everyone you are on the train or pay vip 
1,user user great minds think alike! lol 
0,user user neither can i  it's not fun!! i apply to things but don't get anything back!
1,so colld. my free tshirt arrived today 
1,user ah i am going to take first ramp;r weekend in ages. total rest. we'll see how that works out though 
0,i was late to the ontd trending topics party. 
1,user i like it 
0,user time for you to relax then. i'm out lunching amp; shopping today...even though it's raining 
0,"user oh, i can't.  i mean, how would it work?  i'd go, and then lee'd go?  we'll just wait for the dvd release.  "
0,gmail is down? 
0,jeezus my body hates me right now!! 21 hours awake and still counting! i had fun with my friends tonight. and i miss cassieface already 
1,user user thank you 
0,"...i'm obsessing over. and when lost comes back, given it's the final season...it's gonna be even worse. "
1,"user yeah, happens to everyone. live and learn. "
0,"user oh that sounds nice, i love the summers here, always bright but then the winters are the opposite so that's no fun! "
1,what a wonderful cause! thank you user for all you do!  militarymon
0, having my friends drop me off was a bad idea. i miss you guys already. two months? seriously?
0,"oh, i'd forgotten it's rob day at the cinema. sad now "
1,brb ppl need food lol 
0,awake cause another night i can't sleep 
1,my ipod touch have this tendency to pick jacky cheung's songs every time i say shuffle... 
0,be a new video up tonight. but the to bad things are i still have. cold and i don't have a sciphone 
1,user yea ok for you sure why not go ahead tell ddub and his 2wife i said was up lmfao 
1,user hi! do you speak fluent filipino at home?  i just wanted to ask. 
1,user what're you workin on now? goin for a run or what? 
1,user hey tom  would you ask danny what's his favorite death cab for cutie song?  xx
0,well i'm at work already!!  ugh
1,i'm off now! see you guys tomorrow! good night! 
0,someone tried to approach me  too danger
0,user  clean me!
1,user lol  it did make me laugh aha but i was like oh dear you did not just say that  aha xx
0,"wow...i went on a rant rampage,didnt i!?!?! deep breaths sorry,the news scares the shit out of me sometimes! "
1,so naf showed up we did some warm ups then interval sprints then filmed my one lap in just speedos lmao dam it was cold 
1,user sounds as if they meant not by may 29th but by the end of may 29th.    doesn't matter. let's go for the finish line! 
1,feel refreshed.. 
1,"angels section 2. shes asking, who else is with her? "
0,user you mistweeted  here's the link again if you need it http
0,"accidentally buggered my network connection port by forcing in a memory stick  in my defence, the room was dark, and i feeling my way."
1,user  i know why i don't have a welsh accent... it's because im scottish!!!!!! 
0,user omg you like ghibli films lol have you watched grave of the fireflies  that made me cry so much
1,user every little thing  just trynna keep these niggas and my business n line
1,user so bundle up the boy and go sit in the sun with him and read him a story.  
1,"user oh ok, remind me in like a week "
0,"dad wants the computer, so i'd best be off  taking my lapity-topity to a mac specialist tomorrow, hopefully they make teh owwie go awayz"
0,user  well in an earlier tweet user asked for the dates for london and he said he couldnt say ? !! 
1,user sweet signoff...rest well! 
1,user the click to buzz tweet 
1,user your tweeting like me  the begining when i first started 
1,"user okie  lol. hahahhahaha. now you've mentioned it,i havent punched someone in a long time."
1,user good good. i'm ready for my closeup.... 
1,"user hey you  fancy seeing you here ofio big  yes, you guessed right, i hail from the aforementioned clan! how goes it?"
1,user yay! have a great plane ride.  peace out.
0,user chica!!!!!!!!! whats up??? i miss ya!!! 
1,user   me too memory like a .......... ? ....... what was i saying?
0, im being attacked by a moth!!  its scary stuff  haha!
1,user ph and i are having a macaron smackdown...except he is not aware of it...it's all being played out in my head 
1,"user i mean, fingers crossed you don't of course. "
0,still cannot print to ip4300. print queue opens and shuts without printing  does it on to machines.
1,"user i know, i hated it. i'm trying to get my voice back though  i'm drinks loads and loads of water. no more soda!"
1,user haha happy to entertain  xx
0,aliens is not improving my mood.  feelin depressed.
1, i wish i had my tablet pen :c...
1,think the sun has melted everyone away like ice lollies.lol 
0,hate wakin up early specially from a day like yesterday. wish it could rain the whole day today. 
0,user oh sorry about your back  hope j gets better fast and it doesn't keep bouncing around!
1,"user oh, boo... stupid kevick comm. gt;.lt; oh, well, yours is still lovely and kevin-personalized! "
1,user rule number 1. never wake a happily sleeping baby unless its to eat. wait till he wakes 
0,user oh no  sorry girl
0,user i remember when he died 
0,i need a hug 
1,yaay!! bothers and sisters!! woo-hoo!! 
1,user when will the twitter episode be shown? 
1,user i'm in caerphilly. about mile or so from where they go bowling!! and i was born in the hostpital where ness has the baby 
0,will be visiting my dog at the pet clinic. hope he's well. i wanna play with him na 
1,mum might bring me to the overnight cancer walk cuz i want to take pictures 
1,user thought you might like it seeing it's absent of meat 
0,user  clean me!
0,"in bed, my midnight snack and i, twix  theres a fat girl in me somewhere"
0,"user sounds interesting. yeah, my brothers amp; i don't know spanish but my mom amp; grandparents do  wth!"
1,thinking of a front end for the fc delivery 
0,"user anyway caitlin, i'm off to bed, i have school tomorrow.  good night amp; hope you decide to come back to neighbours soon. xo."
1,user user user user thank you so much 
1,"aww, what a great show "
1,user user user user  user good luck for tonight girlies! 
1,goodsex means never having to say you're sorry 
0,hm... i haven't done anything useful all morning  i'll have to work twice as hard this afternoon!
0,user  i've been talking to you!!!!  are you ignoring me?  thought you were gone 
1,"user you win another star, sir!  http"
1,morning to my 300 followers  thanks for being interested in my updates. more happymaking will follow   w.happymaking4u.blogspot.com
1,"user decisions, decisions .. "
0,"user oh  is there anyway you guys can come tour here? i would travel the world just to c you guys perform, please try and come xoxo"
1,user opa yes and we do not break plates we dance 
1,user i'm very excited. we booking flights and planning next week  coming there in winter br
1,user don't forget to vote for our entry!   http
1,user .....well you let me know how it works out for you. 
0,"user yes, but sadly i can't make it  family commitment from forever ago..."
1,"user how old r u, well its here now so just give it yall "
1,user cuz hes just that amazing.  haha i really have no clue. :
1,user you dancer! as they might say in glasvegas 
1,user i hit 140 characters. was supposed to end with soon 
1,"user tweet jizzersforlife  we're fbr fans, we're jizztastic, and we're trying to make it onto the tt. help us out? thanks!"
0,"user concord amp; irvine, ca only. that's it for '09. "
0,user but who wants to see all those scars  as for the workshop i explained there was a mixup with the slides....cough....
1,"user   i like it for the most part, but there are days it is stressful"
1,stayed up late because it's summer. been trying to finish terninator salvation for the 360. 
0,so...i guess there isn't much going on tonight... 
1,shaundivineybradiewebbandyclemmensenshortstack    ily! lt;3
1,user  kaya naman talaga and besides he went here and you went there 
